
Episode: 312/5000, score: 58, cumulative reward: -390.4110937723965
Episode: 313/5000, score: 55, cumulative reward: -504.3496659423333
Episode: 314/5000, score: 66, cumulative reward: -608.0448299429909
Episode: 315/5000, score: 52, cumulative reward: -415.400909879721
Episode: 316/5000, score: 58, cumulative reward: -436.3443682463433
Episode: 317/5000, score: 84, cumulative reward: -574.362463003308
Episode: 318/5000, score: 54, cumulative reward: -465.6591879901209
Episode: 319/5000, score: 82, cumulative reward: -660.338157879714
Episode: 320/5000, score: 76, cumulative reward: -481.317588858459
Episode: 321/5000, score: 54, cumulative reward: -344.7540300017007
Episode: 322/5000, score: 48, cumulative reward: -386.9311459844565
Episode: 323/5000, score: 97, cumulative reward: -333.0636358260025
Episode: 324/5000, score: 62, cumulative reward: -466.8051622771477
Episode: 325/5000, score: 72, cumulative reward: -567.0115659982912
Episode: 326/5000, score: 68, cumulative reward: -585.6927752774385
Episode: 327/5000, score: 60, cumulative reward: -415.7282392521673
Episode: 328/5000, score: 55, cumulative reward: -411.3832673548515
Episode: 329/5000, score: 85, cumulative reward: -735.5942855355789
Episode: 330/5000, score: 74, cumulative reward: -684.9084057355717
Episode: 331/5000, score: 59, cumulative reward: -514.6063617372467
Episode: 332/5000, score: 65, cumulative reward: -474.986625406155
Episode: 333/5000, score: 86, cumulative reward: -724.0025189343896
Episode: 334/5000, score: 72, cumulative reward: -514.2896851435967
Episode: 335/5000, score: 64, cumulative reward: -536.815541144593
Episode: 336/5000, score: 63, cumulative reward: -515.619601268851
Episode: 337/5000, score: 77, cumulative reward: -709.4566202561842
Episode: 338/5000, score: 60, cumulative reward: -526.5219679355473
Episode: 339/5000, score: 53, cumulative reward: -395.1072823199755
Episode: 340/5000, score: 57, cumulative reward: -266.1620744840287
Episode: 341/5000, score: 70, cumulative reward: -483.5514078665424
Episode: 342/5000, score: 87, cumulative reward: -603.733675160627
Episode: 343/5000, score: 52, cumulative reward: -359.24513565810406
Episode: 344/5000, score: 86, cumulative reward: -332.8390687546166
Episode: 345/5000, score: 80, cumulative reward: -255.21279109670576
Episode: 346/5000, score: 72, cumulative reward: -451.09122155606644
Episode: 347/5000, score: 63, cumulative reward: -524.0278047999922
Episode: 348/5000, score: 62, cumulative reward: -537.5451186105303
Episode: 349/5000, score: 73, cumulative reward: -794.2926945176882
Episode: 350/5000, score: 67, cumulative reward: -573.0691348145817
Episode: 351/5000, score: 61, cumulative reward: -559.6350694749281
Episode: 352/5000, score: 88, cumulative reward: -770.6672052005981
Episode: 353/5000, score: 51, cumulative reward: -414.5317190602191
Episode: 354/5000, score: 58, cumulative reward: -483.91402359017565
Episode: 355/5000, score: 54, cumulative reward: -472.93195774408554
Episode: 356/5000, score: 68, cumulative reward: -517.5484282884345
Episode: 357/5000, score: 75, cumulative reward: -586.6422938855599
Episode: 358/5000, score: 72, cumulative reward: -527.350131305887
Episode: 359/5000, score: 49, cumulative reward: -388.3845791935244
Episode: 360/5000, score: 63, cumulative reward: -557.4977877133928
Episode: 361/5000, score: 59, cumulative reward: -513.2065572444076
Episode: 362/5000, score: 57, cumulative reward: -504.49318969111306
Episode: 363/5000, score: 51, cumulative reward: -437.76570782327303
Episode: 364/5000, score: 66, cumulative reward: -491.4709939015418
Episode: 365/5000, score: 56, cumulative reward: -413.4971464539409
Episode: 366/5000, score: 52, cumulative reward: -404.3212491012479
Episode: 367/5000, score: 59, cumulative reward: -510.3916485387645
Episode: 368/5000, score: 65, cumulative reward: -247.8731225053235
Episode: 369/5000, score: 80, cumulative reward: -486.9889613713305
Episode: 370/5000, score: 64, cumulative reward: -172.86583292952292
Episode: 371/5000, score: 58, cumulative reward: -323.92997650133225
Episode: 372/5000, score: 78, cumulative reward: -547.9253279634464
Episode: 373/5000, score: 74, cumulative reward: -275.2292349868037
Episode: 374/5000, score: 83, cumulative reward: -460.82173662130106
Episode: 375/5000, score: 53, cumulative reward: -435.1744937511332
Episode: 376/5000, score: 88, cumulative reward: -713.1343106223986
Episode: 377/5000, score: 62, cumulative reward: -512.563672424577
Episode: 378/5000, score: 101, cumulative reward: -226.82889785709372
Episode: 379/5000, score: 59, cumulative reward: -470.7633843499358
Episode: 380/5000, score: 69, cumulative reward: -594.6918851972316
Episode: 381/5000, score: 74, cumulative reward: -644.0457417755978
Episode: 382/5000, score: 59, cumulative reward: -393.4364934749557
Episode: 383/5000, score: 54, cumulative reward: -405.7675402067344
Episode: 384/5000, score: 52, cumulative reward: -310.9326574563619
Episode: 385/5000, score: 65, cumulative reward: -540.5169941173514
Episode: 386/5000, score: 75, cumulative reward: -592.7436078057456
Episode: 387/5000, score: 60, cumulative reward: -439.3311180019315
Episode: 388/5000, score: 55, cumulative reward: -442.62807527492765
Episode: 389/5000, score: 57, cumulative reward: -486.46561103236314
Episode: 390/5000, score: 72, cumulative reward: -578.1587866906798
Episode: 391/5000, score: 66, cumulative reward: -494.97351638977835
Episode: 392/5000, score: 55, cumulative reward: -368.0599485806146
Episode: 393/5000, score: 68, cumulative reward: -609.9901894515986
Episode: 394/5000, score: 67, cumulative reward: -487.42022160417224
Episode: 395/5000, score: 74, cumulative reward: -564.1548312014897
Episode: 396/5000, score: 70, cumulative reward: -591.9193379751396
Episode: 397/5000, score: 73, cumulative reward: -535.4139007071758
Episode: 398/5000, score: 77, cumulative reward: -552.6600011594151
Episode: 399/5000, score: 80, cumulative reward: -719.4353505494014
Episode: 400/5000, score: 65, cumulative reward: -571.8737275047176
Episode: 401/5000, score: 65, cumulative reward: -588.6109007395512
Episode: 402/5000, score: 78, cumulative reward: -568.9630578667116
Episode: 403/5000, score: 68, cumulative reward: -561.6619757393995
Episode: 404/5000, score: 82, cumulative reward: -808.1793597667421
Episode: 405/5000, score: 58, cumulative reward: -552.2038264152648
Episode: 406/5000, score: 72, cumulative reward: -769.3784666912335
Episode: 407/5000, score: 58, cumulative reward: -316.86546299287596
Episode: 408/5000, score: 68, cumulative reward: -223.42941278915143
