Using device: cuda
Episode: 1244/10000, time: 278, truncated: False, cumulative reward: -95.68041336846376
Episode: 1246/10000, time: 245, truncated: False, cumulative reward: -76.16643783191655
Episode: 1249/10000, time: 167, truncated: False, cumulative reward: -121.79276976860143
Episode: 1256/10000, time: 122, truncated: False, cumulative reward: -127.8036581357781
Episode: 1258/10000, time: 255, truncated: False, cumulative reward: -86.9227177886057
Episode: 1265/10000, time: 127, truncated: False, cumulative reward: -110.19307144015129
Episode: 1268/10000, time: 130, truncated: False, cumulative reward: -94.10342716674289
Episode: 1269/10000, time: 142, truncated: False, cumulative reward: -97.11893012206588
Episode: 1274/10000, time: 108, truncated: False, cumulative reward: -186.34555771359194
Episode: 1277/10000, time: 131, truncated: False, cumulative reward: -149.02028619223074
Episode: 1279/10000, time: 130, truncated: False, cumulative reward: -139.9279663518526
Episode: 1287/10000, time: 218, truncated: False, cumulative reward: -101.80402776519122
模型状态字典已保存至 c:\Users\isrya\#MyFiles\#MyCode\GithubUoL\COMP532\AS02\models\model_0.pth
Episode: 1353/10000, time: 178, truncated: False, cumulative reward: -121.74409652531638
Episode: 1371/10000, time: 66, truncated: False, cumulative reward: -179.4310292806541
模型状态字典已保存至 c:\Users\isrya\#MyFiles\#MyCode\GithubUoL\COMP532\AS02\models\model_0.pth
Episode: 1414/10000, time: 116, truncated: False, cumulative reward: -129.9809712768108
Episode: 1424/10000, time: 60, truncated: False, cumulative reward: -281.28590568759995
Episode: 1428/10000, time: 72, truncated: False, cumulative reward: -130.75474891796236
Episode: 1455/10000, time: 250, truncated: False, cumulative reward: -147.7711817257266
Episode: 1456/10000, time: 270, truncated: False, cumulative reward: -81.70809626736718
Episode: 1491/10000, time: 97, truncated: False, cumulative reward: -56.61812635968859
模型状态字典已保存至 c:\Users\isrya\#MyFiles\#MyCode\GithubUoL\COMP532\AS02\models\model_0.pth
Episode: 1576/10000, time: 166, truncated: False, cumulative reward: -111.15212060254488
